0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:05:42 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12128
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:05:43 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7607
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:05:43 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:05:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:06:25 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12111
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:06:25 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7607
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:06:25 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:06:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:09:13 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12111
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:09:13 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7631
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:09:13 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:09:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:12:59 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:12:59 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:13:00 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:13:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:08 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:08 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:08 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:31 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:31 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7719
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:31 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:20:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:25:41 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:25:42 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:29:29 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:29:29 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:29:32 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:29:32 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7745
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:29:32 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:29:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:33:28 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12118
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:33:28 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7711
