127.0.0.1 - - [18/Aug/2022:09:25:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:26:33 +0900] "GET /WebProject3/jspCY/Netflix01.jsp HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:26:33 +0900] "GET /WebProject3/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:26:33 +0900] "GET /WebProject3/jspCY/css/Netflix01.css HTTP/1.1" 200 15914
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:26:34 +0900] "GET /WebProject3/jspCY/img/icon1_lang.png HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:11 +0900] "GET /WebProject3/jspCY/Netflix01.jsp HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:11 +0900] "GET /WebProject3/jspCY/css/Netflix01.css HTTP/1.1" 200 15915
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:11 +0900] "GET /WebProject3/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:12 +0900] "GET /WebProject3/jspCY/img/icon1_lang.png HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:36 +0900] "GET /WebProject3/jspCY/Netflix01.jsp HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:36 +0900] "GET /WebProject3/jspCY/css/Netflix01.css HTTP/1.1" 200 15915
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:36 +0900] "GET /WebProject3/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:36 +0900] "GET /WebProject3/jspCY/img/icon1_lang.png HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:29:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:30:39 +0900] "GET /WebProject3/jspCY/Netflix01.jsp HTTP/1.1" 200 16268
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:30:39 +0900] "GET /WebProject3/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [18/Aug/2022:09:30:39 +0900] "GET /WebProject3/jspCY/css/Netflix01.css HTTP/1.1" 200 15917
