127.0.0.1 - - [25/Aug/2022:21:37:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:37:29 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:37:30 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:37:30 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:37:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:47:53 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:47:53 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6513
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:47:53 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:47:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:48:15 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:48:16 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6495
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:48:16 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:48:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:06:49 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:06:49 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6491
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:06:49 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:06:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:07:25 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:07:25 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6497
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:10:23 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:10:24 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:12:37 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:12:37 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6714
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:14:38 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:14:38 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6945
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:25:34 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:26:17 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:26:21 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:26:21 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6948
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:26:22 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:26:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:29:26 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:29:26 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:29:27 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [25/Aug/2022:22:29:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
